week,date,rank,skater,trick,line,switch,stance,slowmo,replayed,slam,NY,oddball,obstacle,obstacledetail,location,notes,points,video,videotype,company,ig
1,1/7/22,10,Jahmal Williams,wallie to fs 5050,,,regular,,1,,,,ledge,barrier,,,1,Hopps x Labor,company,Hopps,
1,1/7/22,9,Luke Graffis,fs tailslide to fs bigspin,1,,regular,,,,,,ledge,,,,2,Norma,homie,,
1,1/7/22,8,Forest Bailey,bs tailslide to fakie,,,regular,1,,,,,curb,curved ledge,,,3,Leap Year,homie,,
1,1/7/22,7,Kyler Garrison,drop to sw manual to sw ollie,,1,regular,1,1,,1,1,gap,gap to pad to gap,D7,quick feet,4,Hopps x Labor,company,Hopps,
1,1/7/22,6,Tyree Johnson,deck bonk to nosegrind,,,regular,1,1,,,1,ledge,bench,,,5,Leap Year,homie,,
1,1/7/22,5,Aidan Olmstead,ride-on bs 5050 to ride-on bs 5050,,,regular,,,,,,flat rail,rail to rail,,,6,Leap Year,homie,,
1,1/7/22,4,Thanos Panou,bs 5050 to bs 5050,,,regular,1,,1,1,,ledge,ledge to rail,,,7,Misinformation,solo,,
1,1/7/22,3,Zach McBride,bs wallie,,,regular,,,1,,,wall,into bank,,,8,Norma,homie,,
1,1/7/22,2,Jasper Stieve,fs 180 to sw fs nosegrind,,,regular,,,,1,,ledge,outledge,Pyramid Ledges,,9,Visitors,solo,Picture Show,
1,1/7/22,1,Samuel Dietzel,kickflip,,,regular,1,,,,,stairs,stairs to disaster,Karlsplatz,into stairs,10,The Karlsplatz Video,homie,Turtle Productions,
2,1/14/22,10,Naoya Kato,ollie to ollie to ollie,1,,regular,,,,1,,pad,pad to chain,,quick feet,1,Peace n Love V.3,homie,,
2,1/14/22,9,Ish Cepeda,shuv to manual to fs 180,1,,regular,,,,,,pad,,Germany,,2,Plazacation: Berlin,company,Thrasher,
2,1/14/22,8,Ariana Spencer,kickflip,,,regular,1,1,,,,gap,,,woman,3,Pilot,solo,,
2,1/14/22,7,Nick Lane,ride-on 5050 to shuv,,,regular,1,,,1,1,flat rail,,,,4,Videobrain,homie,,
2,1/14/22,6,Cooper Latimer,bs blunt to bs blunt to fakie,1,,regular,,,,,1,ledge,ledge to ledge,Santa Monica ledges,super sick,5,Coop,solo,,
2,1/14/22,5,Issei Morinaka,sw fs 360,1,1,switch,,,,,,stairs,,,5 trick line,6,Peace n Love V.3,homie,,
2,1/14/22,4,Chris Athans,pole jam to manual to pole jam,1,,regular,,,,,,pole jam,pole jam flat pole jam,SF Hills,6 trick line,7,Deep Dish x Snack 2022,company,Deep Dish,
2,1/14/22,3,Patrick Rogalski,fs nosegrind to nollie kickflip,,,regular,1,1,1,,,ledge,into bank,Germany,,8,Plazacation: Berlin,company,Thrasher,
2,1/14/22,2,Leonardo Bodelazzi,nollie,,,nollie,,,,,,gap,flat gap,Universitat,,9,Leozinho,solo,,
2,1/14/22,1,Nick Matthews,bs lipslide,,,regular,1,1,,1,,ledge,gap to ledge,,HUF tribute,10,Venture x Uprise,company,Venture,
3,1/21/22,10,Evan Wasser,bs 180 to sw bs 5-0 to sw fs 180,,,regular,,,,,,ledge,bank to ledge,indoor park,,1,,,,1
3,1/21/22,9,Trevor Thompson,bs 180 to fakie manual to halfcab,1,,regular,,1,,,,pad,ledge to pad,,quick feet,2,Street Fighter II,company,WKND,
3,1/21/22,8,Jake Lemmonds,fs 5050 to ollie,,,regular,1,1,,1,,handrail,up rail to gap,,,3,Til It’s Gone,homie,,
3,1/21/22,7,Andrew Considine,slappy bs crook to bs 180,,,regular,1,1,,,,transition,street transition,,,4,Street Fighter II,company,WKND,
3,1/21/22,6,Alan Bell,fs tailslide to kickflip,,,regular,,,1,,,ledge,hubba,NYC hubba to ledge,,5,Til It’s Gone,homie,,
3,1/21/22,5,Vinicius Costa,bs blunt to fakie,1,,regular,,,,,,handrail,,,,6,Na Missão Cut #01,homie,,
3,1/21/22,4,Noah Singleton,ride-on 5050,,,regular,,1,1,1,,ledge,outledge,,,7,Til It’s Gone,homie,,
3,1/21/22,3,Na-Kel Smith,nollie hardflip,1,,nollie,1,1,,,,stairs,,,,8,,,FA,1
3,1/21/22,2,KB,kickflip to bs tailslide to bs 360,,,regular,1,1,,,1,ledge,,,,9,,,FA,1
3,1/21/22,1,Shaun Paul,bs noseslide,,,regular,1,1,1,,,ledge,ledge to gap,,,10,NorthUnda,solo,DC Shoes,
4,1/28/22,10,Henry Gibbs,fs 5050,,,regular,,,1,,,flat rail,keyhole,,keyhole + my roommate atm lol,1,Grey Part,solo,Grey,
4,1/28/22,9,Kaito Sagawa,deck bonk  ,,,regular,1,1,,,1,flat rail,into bank,,,2,,,,
