"trick","obstacledetail","obstacle","cnt"
"360 flip","into bank","gap",1
"360 flip","into pole jam","gap",1
"360 flip","over can","gap",1
"360 flip","over hip and rail","bank",1
"360 flip","over hydrant","gap",1
"360 flip","over rail","gap",1
"360 flip","plain jane","flat",1
"360 flip","plain jane","gap",1
"360 flip to bs noseslide","into bank","ledge",1
"360 flip to bs noseslide","plain jane","ledge",1
"360 flip to bs noseslide to fakie","plain jane","ledge",1
"360 flip to crook","plain jane","ledge",1
"360 flip to fs 5050","gap to curb","curb",1
"360 flip to manny","into bank","pad",1
"acid drop to fs 5050","drop to curb","curb",1
"big flip","plain jane","stairs",1
"bs 180","into bank","gap",1
"bs 180","plain jane","stairs",1
"bs 180 revert to fakie manny to halfcab","pad to bank","pad",1
"bs 180 to bs 5-0 stall to tail drop","into bank","ledge",1
"bs 180 to fakie manny to halfcab","into bank","pad",1
"bs 180 to fakie manny to halfcab","ledge to pad","pad",1
"bs 180 to fakie manny to halfcab","plain jane","pad",1
"bs 180 to fakie manny to kickflip","plain jane","pad",1
"bs 180 to fakie manny to sw fs 5-0","pad to hubba","pad",1
"bs 180 to sw bs 5-0 to sw bs 180","plain jane","handrail",1
"bs 180 to sw bs 5-0 to sw fs 180","bank to ledge","ledge",1
"bs 180 to sw bs 5-0 to sw fs shuv","plain jane","hubba",1
"bs 180 to sw fs 5-0","banked ledge","ledge",1
"bs 180 to sw fs 5-0 to regular","street transition","transition",1
"bs 180 to sw fs crook","outledge","ledge",1
"bs 180 to sw hill bomb","flat gap","gap",1
"bs 180 to sw manny to sw fs 360","plain jane","pad",1
"bs 180 to sw manny to sw kickflip","plain jane","pad",1
"bs 180 to sw wallie","to wall","ledge",1
"bs 270 cab to bs tail to bs shuv","plain jane","ledge",1
"bs 360","plain jane","gap",1
"bs 360","plain jane","stairs",2
"bs 360 kickflip","plain jane","stairs",2
"bs 360 to bs wallride","kicker to wall","wall",1
"bs 360 to fakie","street transition","transition",1
"bs 5-0 to fs 180","into bank","ledge",1
"bs 5050","outledge","ledge",1
"bs 5050","plain jane","hubba",1
"bs 5050 to bs 5050","ledge to rail","ledge",1
"bs 5050 to fs body varial","plain jane","handrail",1
"bs 5050 to fs shuv to bs 5050","to hubba","ledge",1
"bs 5050 to kickflip transfer","up rail","flat rail",1
"bs 5050 to ollie","ledge to gap","ledge",1
"bs 5050 to ride-on ride to ride-on bs 5050","rail to stump to rail","flat rail",1
"bs 5050 transfer","plain jane","flat rail",1
"bs bean plant","concrete skatepark","transition",1
"bs bigfip","plain jane","stairs",1
"bs bigspin to sw manny to sw fs 180","plain jane","pad",1
"bs blunt to bs blunt","hubba to ledge","hubba",1
"bs blunt to bs blunt to fakie","ledge to ledge","ledge",1
"bs blunt to fakie","outledge","ledge",1
"bs blunt to fakie","plain jane","handrail",1
"bs blunt to ollie","over bike","ledge",1
"bs blunt transfer","into bank","flat rail",1
"bs boardslide","bump to bar","flat rail",1
"bs boardslide","curved hubba","hubba",1
"bs boardslide","gap to curb","curb",1
"bs boardslide","glass barrier to drop","flat rail",1
"bs boardslide","into bank","handrail",1
