Video,Year,Run time,Brand,Trick count,Clip count,Lines,Slow Mo
Warfare,2009,4:33,Matt Bublitz,65,61,6,4
Slap part,2010,3:22,SLAP,42,42,6,9
Lo-Tide,2012,3:44,Matt Bublitz,48,44,7,5
Cold War,2013,3:33,Zero,46,43,8,1
Tom K. x Wugazi,2014,1:39,Matt Bublitz,13,13,1,0
3D Welcomes,2014,1:56,3D,25,19,7,0
Out of Sync,2014,1:07,Thunder,29,25,5,1
Hi-Tide,2015,3:45,Matt Bublitz,51,45,8,13
Brighton 344,2016,2:56,NB#,16,12,5,1
Substance,2016,1:36,Transworld,48,45,10,1
Keeping the Flame,2017,3:19,Skate Mental,42,41,5,7
Aunt Tammy vol. 3,2018,0:48,Skate Mental,15,14,1,2
String Theory,2019,3:52,NB#,69,48,18,2
Enter the Museum,2020,3:37,Museum,29,23,5,6
WKND,2020,3:24,WKND,33,25,9,7
Cutting Corners ep.1,2021,2:37,Matt Bublitz,21,17,8,3
Backwash,2023,2:46,Matt Bublitz,34,25,8,5
-AVERAGES-,,2:51,,37,32,7,4
