obs20,obs21,obs22,det20,det21,det22,allyears,alldets
,gap,gap,bench,bump to bar,,ledge,bench
ledge,pad,ledge,,,,ledge,
hubba,gap,curb,,flat gap,curved ledge,hubba,
ledge,ledge,gap,,ledge to drop,gap to pad to gap,gap,
ledge,ledge,ledge,,,bench,ledge,
stairs,hubba,flat rail,,up hubba,rail to rail,stairs,
ledge,stairs,ledge,ledge to gap,,ledge to rail,ledge,ledge to gap
ledge,gap,wall,,over rail,into bank,ledge,
gap,handrail,ledge,,,out ledge,gap,
gap,flat rail,stairs,bank to bank,curved rail,stairs to disaster,gap,bank to bank
curb,wall,pad,,wallride down stairs,pad to chain,curb,
pole,gap,pad,basketball hoop pole,over trash can,,pole,basketball hoop pole
stairs,pad,ledge,up stairs,,barrier,stairs,up stairs
ledge,hubba,flat rail,ledge gap ledge,,,ledge,ledge gap ledge
ledge,ledge,ledge,up ledge,gap to ledge into bank,ledge to ledge,ledge,up ledge
ledge,stairs,stairs,,,,ledge,
ledge,ledge,pole jam,,curved bench,pole jam flat pole jam,ledge,
ledge,wall,ledge,,,into bank,ledge,
ledge,ledge,gap,out ledge,,flat gap,ledge,out ledge
ledge,gap,ledge,out ledge,big drop,gap to ledge,ledge,out ledge
stairs,stairs,ledge,,,bank to ledge,stairs,
handrail,curb,pad,knobbed rail,,ledge to pad,handrail,knobbed rail
pad,flat,handrail,manual drop manual,into bank,up rail to gap,pad,manual drop manual
pad,flat,transition,up stairs,,street transition,pad,up stairs
stairs,flat rail,hubba,,pole to flat rail to into bank,,stairs,
handrail,pad,handrail,cannon,,,handrail,cannon
ledge,pad,ledge,,,out ledge,ledge,
handrail,ledge,stairs,,out ledge,,handrail,
transition,ledge,ledge,quarterpipe,ledge to flat rail,,transition,quarterpipe
ledge,ledge,ledge,gap to ledge,,ledge to gap,ledge,gap to ledge
curb,wall,flat rail,,,keyhole,curb,
hubba,ledge,flat rail,,ledge to ledge,into bank,hubba,
ledge,ledge,handrail,ledge to ledge,,into bank,ledge,ledge to ledge
ledge,transition,transition,,concrete park,on chains,ledge,
gap,ledge,ledge,over rail,out ledge,out ledge,gap,over rail
ledge,ledge,pad,ride on,out ledge,pad to ledge to pad,ledge,ride on
flat rail,stairs,ledge,,,,flat rail,
pad,pad,handrail,,,,pad,
gap,ledge,ledge,flat gap,,,gap,flat gap
ledge,gap,ledge,ledge to ledge,launch ramp,into bank,ledge,ledge to ledge
gap,ledge,curb,,,bump to curb,gap,
transition,ledge,flat rail,quarterpipe,out ledge,out rail,transition,quarterpipe
ledge,flat,flat,gap to ledge,into bank,over can,ledge,gap to ledge
hubba,stairs,curb,,,gap to curb,hubba,
hubba,gap,gap,,over rail into bank,into bank,hubba,
ledge to ledge,ledge,hubba,gap to gap to ledge,ledge to ledge,curved hubba,ledge,gap to gap to ledge
stairs,bank,bank,,Drop in,bank to bank to bank,stairs,
gap to ledge,handrail,handrail,,,,ledge,
flat,ledge,handrail,,,,flat,
flat rail,ledge,gap,into bank,out ledge,flat gap,flat rail,into bank
ledge,ledge,ledge,,,,ledge,
wall,ledge,flat,,,over ledge,wall,
gap,ledge,handrail,,,,gap,
gap,gap,pad,over rail,flat gap,,gap,over rail
handrail,gap,ledge,,over rail into bank,wall to ledge,handrail,
ledge,gap,pad,,over rail into bank,flat,ledge,
gap,flat rail,handrail,over hydrant,,,gap,over hydrant
ledge,ledge,ledge,,,out ledge,ledge,hubba
stairs,flat rail,pad,up stairs,,into bank,stairs,up stairs
curb,gap,pad,,over rail into bank,,curb,
stairs,gap,stairs,,over bench,sign on stairs,stairs,
ledge,ledge,ledge,wall to ledge,,,ledge,wall to ledge
curb,ledge,ledge,,,out ledge,curb,
pad,stairs,ledge,,,,pad,
gap,gap,pad,roof,flat gap,,gap,roof
stairs,ledge,stairs,up stairs,curved ledge,,stairs,up stairs
gap,gap,flat rail,over rail,wallie to gap,bump to bar,gap,over rail
stairs,stairs,handrail,,,handrail to ledge,stairs,
hubba,wall,ledge,,wallie to gap,table,hubba,
flat rail,bank,stairs,rail to gap,into bank,,flat rail,rail to gap
flat,curb,ledge,curb cut,gap to curb,benches,flat,curb cut
flat,transition,ledge,over bench,pool,,flat,over bench
pad,gap,ledge,,,ledge to wall,pad,
ledge,gap,ledge,,over wall,,ledge,
flat,transition,flat rail,over rail,street quarter,,flat,over rail
bank,stairs,gap,over rail,stairs to pad to wall,over rail,bank,over rail
handrail,curb,ledge,,,out ledge,handrail,
gap,pad,handrail,up gap,,,gap,up gap
ledge,ledge,gap,gap to ledge,ledge to pad,,ledge,gap to ledge
gap,ledge,ledge,bump to bar,,into bank,gap,bump to bar
gap,ledge,flat rail,hip,gap to ledge,,gap,hip
bank,ledge,stairs,,,,bank,
gap,pad,curb,hip,pad to gap to bank,over fence,gap,
gap,ledge,gap,,ledge to wall,,gap,
pad,ledge,ledge,,out ledge,out ledge,pad,
flat rail,flat,hubba,gap to rail,onto ledge,,flat rail,gap to rail
gap,hubba,ledge,flat gap,ledge to gap,bump to dumpster,gap,flat gap
flat rail,stairs,flat rail,,over chain,bank to rail,flat rail,flat rail
gap,gap,gap,,onto loading dock,,gap,
transition,ledge,transition,quarterpipe,,street transition,transition,quarterpipe
handrail,gap,ledge,rail to curb,curb cut,,handrail,rail to curb
ledge,ledge,ledge,banked ledge,,,ledge,banked ledge
gap,wall,ledge,,transition to wall,,gap,
ledge,flat,flat rail,bank to ledge,,bench,ledge,bank to ledge
transition,stairs,ledge,quarterpipe,,,transition,quarterpipe
stairs,ledge,ledge,,out ledge,triple drop,stairs,
ledge,handrail,ledge,,,bump to ledge,ledge,
flat rail,ledge,wall,,out ledge,,flat rail,flat rail
ledge,ledge,gap,out ledge,out ledge,,ledge,out ledge
gap,gap,flat rail,over rail,big drop,gap to rail,gap,over rail
curb,ledge,pad,,on hydrant,pad to ledge,curb,
ledge,flat,curb,,over barrier,gap to curb,ledge,
ledge,ledge,ledge,pad to ledge,,curved ledge,ledge,pad to ledge
wall,ledge,flat rail,,curved ledge,into bank,wall,
stairs,gap,ledge,up stairs,,into bank,stairs,up stairs
flat rail,gap,stairs,,,,flat rail,
ledge,flat,ledge,ledge to gap,,to pad to ledge,ledge,ledge to gap
ledge,pad,ledge,,pad to pad,hubba,ledge,
handrail,gap,ledge,,big drop,into bank,handrail,
ledge,stairs,stairs,ledge to wall to ledge,up stairs,,ledge,ledge to wall to ledge
ledge,flat,ledge,,,,ledge,
curb,ledge,bank,,gap to ledge,,curb,
