"trick","obstacledetail","obstacle","cnt"
"360 flip","","flat",1
"360 flip","into bank","gap",1
"blunt stall to fakie","street transition","bank",1
"blunt stall to fs 180","street transition","bank",1
"bs 180","","gap",1
"bs 180","","hip",1
"bs 180","into bank","gap",1
"bs 180 to sw bs 5-0","into bank","ledge",1
"bs 180 to sw bs nosegrind","","ledge",1
"bs 180 to sw bs nosegrind to halfcab","","ledge",1
"bs 270 manual","","bank",1
"bs 360","bump to gap","gap",1
"bs 5-0","","ledge",1
"bs 5-0","bank to ledge","ledge",1
"bs 5-0","into bank","ledge",2
"bs 5-0 to fs 180","into bank","ledge",1
"bs 5050","","flat rail",1
"bs 5050","","hubba",1
"bs 5050","","ledge",1
"bs 5050","into bank","flat rail",2
"bs 5050","into bank","ledge",4
"bs 5050 pop over","","flat rail",1
"bs 5050 to bs 180","ledge to gap","ledge",1
"bs 5050 to ollie up","","flat rail",1
"bs bluntslide","","hubba",1
"bs bluntslide to sw manual","ledge to pad","ledge",1
"bs boardslide","","flat rail",1
"bs boardslide","through knobs","flat rail",1
"bs boardslide ","rail to curb","flat rail",1
"bs boardslide to fakie","","flat rail",1
"bs crook","","ledge",2
"bs crook","bank to ledge","ledge",1
"bs crook","into bank","ledge",1
"bs crook to fakie","","ledge",1
"bs crook to fakie","into bank","ledge",1
"bs heelflip","over barrier","stairs",1
"bs kickflip","","bank",2
"bs kickflip","bump to gap","gap",1
"bs kickflip","flat gap","flat",1
"bs kickflip","flat gap","gap",1
"bs kickflip","street transition","transition",1
"bs lipslide to fakie","","ledge",1
"bs nosegrind","","ledge",2
"bs nosegrind","curvy rail","flat rail",1
"bs nosegrind","into bank","ledge",2
"bs nosegrind to nollie bs 180","","ledge",1
"bs nosegrind to nollie bs 180 pop over","into bank","flat rail",1
"bs nosegrind to nollise fs 180","into bank","ledge",1
"bs noseslide","into bank","ledge",1
"bs noseslide to fakie","","ledge",1
"bs noseslide to fakie","bank to ledge","ledge",1
"bs nosestall","street transition","transition",1
"bs ollie","channel","bank",1
"bs ollie","channel","gap",2
"bs ollie","gap","bank",1
"bs ollie","park","transition",1
