spot,suburb,type,obstacle,detailer,stairs,position,longitude,latitude,info,address,security,difficulty,bounty,photo
Grass Gap,west end,street,gap,,,"-27.485243, 153.001489",-27.485243,153.001489,,,1,4,,
Riverside Ledges,west end,street,ledge,,,"-27.483896, 152.998873",-27.483896,152.998873,Bring wax,,1,2,,
West End Skatepark,west end,park,park,,,"-27.478882, 153.005815",-27.478882,153.005815,,,,,,
Recycling Hubba,west end,street,hubba,,,"-27.479643, 153.005473",-27.479643,153.005473,,,0,2,,Yes
Skinny Gap,west end,street,gap,,,"-27.479790, 153.005652",-27.47979,153.005652,Needs a piece of wood for the run up down the stairs. There is normally one around somewhere but may need to BYO.,,1,3,,
1 flat 8,west end,street,stairs,,,"-27.480576, 153.009113",-27.480576,153.009113,Either skate it as a long 9 or drop down the 1 and skate the 8. Totally up to you.,"47 Vulture St, West End",1,3,,
Over Rail,west end,street,gap,over rail,,"-27.4764297, 153.0131528",-27.4764297,153.0131528,,,2,2,,
Middle Store,west end,shop,shop,,,"-27.480920, 153.012401",-27.48092,153.012401,,"88 Vulture St, West End",,,,Yes
King George Square,cbd,street,plaza,,,"-27.4684903, 153.021654",-27.4684903,153.021654,,,1,1,,Yes
Rock n Roll Slappies,greenslopes,street,slappy,,,"-27.504399, 153.047983",-27.504399,153.047983,,,2,1,,
Greenslopes Bus Slappies,greenslopes,street,slappy,,,"-27.497745586650254, 153.04431124636577",-27.49774559,153.0443112,,,0,1,,
Botanic Garden Rail,brisbane,street,handrail,,,"-27.475207, 153.027663",-27.475207,153.027663,,,0,4,,Yes
Night Owl 7,west end,street,stairs,,,"-27.481687, 153.011990",-27.481687,153.01199,,,3,2,,
Dave Bench,west end,street,ledge,,,,,,"-27.480668, 153.017763",,2,2,,
Underpass Ledge,west end,street,ledge,,,"-27.477758, 153.020304",-27.477758,153.020304,,,3,3,,
Go Between Manny Pads,west end,street,pad,,,"-27.470725, 153.013077",-27.470725,153.013077,,,2,1,,
Sankey St,west end,street,hill bomb,,,"-27.487446, 153.013459",-27.487446,153.013459,Bomb this hill top to bottom. No powerslides. *Middle is not responsible for any injuries that may occur. Try at your own risk.,,2,5,50,
Greek Orthodox Rail,west end,street,handrail,,,"-27.479805, 153.015648",-27.479805,153.015648,,,3,3,,
GOMA,west end,street,plaza,,,"-27.471066, 153.017373",-27.471066,153.017373,,,4,2,,Yes
WES,west end,street,plaza,,,"-27.481253, 153.000961",-27.481253,153.000961,,,1,1,,
Coorparoo Skatepark,coorparoo,park,park,,,"-27.489503, 153.052497",-27.489503,153.052497,,,0,,,Yes
Northshore Tennis Park,hamilton,street,ledge,,,"-27.4443732, 153.079874",-27.4443732,153.079874,,,2,1,,
House Wallride,west end,street,wall ride,,,"-27.489414, 153.009553",-27.489414,153.009553,,,4,2,,
Ride On Grind,highgate hill,street,ledge,,,"-27.486896, 153.016416",-27.486896,153.016416,,,1,3,,
Pineapple Park,east brisbane,park,park,,,"-27.480818, 153.040804",-27.480818,153.040804,,,,,,
KP Ledges,kangaroo point,street,ledge,,,"-27.476233, 153.035167",-27.476233,153.035167,,,0,2,,Yes
Fairfield Skatepark,fairfield,park,park,,,"-27.507525, 153.024067",-27.507525,153.024067,,,0,,,Yes
Brick Ledge,west end,street,ledge,,,"-27.4809586, 152.9902316",-27.4809586,152.9902316,,,2,2,,
Suncorp Stadium,milton,street,plaza,,,"-27.466022, 153.010291",-27.466022,153.010291,,,1,1,,Yes
Undercover Slappies,milton,street,slappy,,,"-27.466201, 153.008954",-27.466201,153.008954,,,0,1,,
