"","trick","count"
"2","ollie",27
"3","kickflip",15
"4","bs crook",14
"5","fs air",12
"6","fs ollie",11
"7","bs lipslide",10
"8","bs smith",10
"9","fs 5050",9
"10","fs nosegrind",9
"11","bs noseblunt",8
"12","invert",8
"13","bs 5050",7
"14","bs air",7
"15","bs boardslide",7
"16","fs boardslide",7
"17","fs crook",7
"18","fs grind",7
"19","fs noseblunt",7
"20","fs smith",7
"21","fs blunt",6
"22","fs kickflip",6
"23","lien air",6
"24","bs 5-0",5
"25","fs 5-0",5
"26","fs feeble",5
"27","fs indie",5
"28","fs tailslide",5
"29","tre flip",5
"30","bertleman",4
"31","bs kickflip",4
"32","bs ollie",4
"33","bs tailslide",4
"34","bs wallride",4
"35","fakie ollie",4
"36","wallride",4
"37","bs 360",3
"38","bs blunt",3
"39","bs nosegrind",3
"40","fakie kickflip",3
"41","fs boneless",3
"42","fs invert",3
"43","kickflip to fakie",3
"44","melon",3
"45","method",3
"46","no comply",3
"47","nose bonk",3
"48","nose pick",3
"49","shifty ollie",3
"50","sw tre flip",3
"51","boardslide",2
"52","bs carve",2
"53","bs disaster",2
"54","downhill",2
"55","drop in",2
"56","fs 180",2
"57","fs 50-50",2
"58","fs blunt to fakie",2
"59","fs noseslide",2
"60","fs slash",2
"61","fs thruster",2
"62","fs wallride",2
"63","handplant",2
"64","indie to fakie",2
"65","kickflip to bs lipslide",2
"66","kickflip to bs tailslide",2
"67","kickflip to bs wallride",2
"68","nose manny",2
"69","nosepick",2
"70","sad plant",2
"71","stale",2
"72","suicide 5050",2
"73","sw bs crook",2
"74","sw heelflip",2
"75","sw kickflip",2
"76","sw ollie",2
"77","tuckknee",2
"78"," ",1
"79","acid drop",1
"80","alley oop nollie",1
"81","andrecht",1
"82","bean plant",1
"83","beanplant",1
"84","bs 180 to nosegrind",1
"85","bs 5050 to 5050",1
"86","bs 5050, bs 5-0",1
"87","bs air, fs air, fs layback",1
"88","bs bigspin",1
"89","bs crook to pop over",1
"90","bs crooked grind",1
"91","bs fastplant",1
"92","bs fastplant, bs ollie",1
"93","bs grind",1
"94","bs heelflip",1
"95","bs hurricane",1
"96","bs indie",1
"97","bs kicklip",1
"98","bs kickturn",1
"99","bs melon",1
"100","bs nosegrab",1
"101","bs noseslide",1
"102","bs shifty",1
"103","bs tail tap",1
"104","bs tailslide nose grab",1
"105","bs tuckknee",1
"106","carve",1
"107","casper stall",1
"108","crailslide",1
"109","dog pisser to fakie",1
"110","driveway flyoff",1
"111","eggplant",1
"112","fakie footplant ollie",1
"113","fakie fs 5050",1
"114","fakie fs boardslide",1
"115","fakie thrust",1
"116","fast plant",1
"117","fastplant",1
"118","fs 180 nosegrind",1
"119","fs 180 nosegrind to regular",1
"120","fs 180 to nosegrind",1
"121","fs 50-50 to fs feeble",1
"122","fs 5050 to gap",1
"123","fs air over fs 5-0",1
"124","fs boardslide to fakie",1
"125","fs channel plant",1
"126","fs crailslide",1
"127","fs fastplant",1
"128","fs grind fs grab",1
"129","fs grind, bs air",1
"130","fs handplant",1
"131","fs hurricane",1
"132","fs kickflip, fs boardslide",1
"133","fs lip",1
"134","fs lipslide",1
"135","fs melon",1
"136","fs nose grind yank",1
"137","fs nosegrab",1
"138","fs roll in",1
"139","fs salad",1
"140","fs tail tap",1
"141","fs thrust",1
"142","fs tuckknee",1
"143","g-turn",1
"144","gap to bs 5050",1
"145","gap to fs 5050",1
"146","gay twist",1
"147","half cab",1
"148","hang ten",1
"149","heelflip shuv it",1
"150","heelflip to fs noseslide",1
"151","hill bomb",1
"152","hippie flip",1
"153","hippie jump",1
"154","hoverboard",1
"155","impossible",1
"156","indie grab",1
"157","judo air",1
"158","kickflip to bs 5050",1
"159","kickflip to bs noseslide",1
"160","kickflip to fs 5050",1
"161","kickflip to fs boardslide",1
"162","kickflip to fs lipslide",1
"163","kickflip to fs tailslide",1
"164","kickflip to lien air",1
"165","kickflip to mute",1
"166","kickflip to pivot to fakie",1
"167","layback tailslide",1
"168","lien air, sweeper",1
"169","lien to tail",1
"170","luge",1
"171","melon to fakie",1
"172","method air",1
"173","mute to fakie",1
"174","nollie bs 180 to fakie 5-0",1
"175","Nollie bs 270 noseslide",1
"176","nollie heelflip",1
"177","nollie kickflip",1
"178","nollie to fs noseblunt",1
"179","nose bonk tail grab",1
"180","nosegrind tailgrab",1
"181","ollie one foot",1
"182","ollie to fakie",1
"183","ollie tuck knee",1
"184","one foot nose manny",1
"185","one foot pogo",1
"186","pogo",1
"187","pole jam to fakie",1
"188","rock to fakie",1
"189","slashback",1
"190","slide drop in",1
"191","soty",1
"192","sw 270 kickflip",1
"193","sw 50-50",1
"194","sw bs 5050",1
"195","sw bs lipslide",1
"196","sw bs noseblunt",1
"197","sw bs smith",1
"198","sw bs tailslide",1
"199","sw bs wallride",1
"200","sw crail",1
"201","sw fs 180 to fs nosegrind",1
"202","sw fs 5-0",1
"203","sw fs crook",1
"204","sw fs heelflip",1
"205","sw fs kickflip",1
"206","sw fs lipslide",1
"207","sw fs smith",1
"208","sw fs tailslide",1
"209","sw kickflip to bs noseblunt",1
"210","sw kickflip to sw bs 5050",1
"211","sw suicide 5-0",1
"212","sw tre flip to noseblunt",1
"213","sweeper",1
"214","tailgrab",1
"215","tailgrab to fakie",1
"216","thruster",1
"217","tic-tac",1
"218","transfer",1
"219","tre flip to fakie",1
"220","wallride indie",1
